"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"1513","NP-10thSt-6-18-20-A","N1",0.116177417337894,"FAM",0.554966807365417,0.004879220854491,10127,1,10126,"NP-10thSt",06/18/20,"Newport"
"1514","NP-10thSt-6-18-20-A","N2",0.232366293668747,"FAM/HEX",0.744431257247925,0.035200547426939,10127,2,10125,"NP-10thSt",06/18/20,"Newport"
"1515","NP-10thSt-6-18-20-A","RP",1.27858304977417,"HEX",2.19897627830505,0.660040199756622,10127,11,10116,"NP-10thSt",06/18/20,"Newport"
"1534","NP-NeolhaPoint-6-18-20-A","N1",0,"FAM",0.278401732444763,0,12662,0,12662,"NP-NeolhaPoint",06/18/20,"Newport"
"1535","NP-NeolhaPoint-6-18-20-A","N2",0,"FAM/HEX",0.278401732444763,0,12662,0,12662,"NP-NeolhaPoint",06/18/20,"Newport"
"1536","NP-NeolhaPoint-6-18-20-A","RP",1.39452850818634,"HEX",2.2301778793335,0.799606382846832,12662,15,12647,"NP-NeolhaPoint",06/18/20,"Newport"
"1552","NP-42ndSt-6-19-20-A","N1",0,"FAM",0.419183552265167,0,8410,0,8410,"NP-42ndSt",06/19/20,"Newport"
"1553","NP-42ndSt-6-19-20-A","N2",0.139897808432579,"FAM/HEX",0.668301939964294,0.00587537325918674,8410,1,8409,"NP-42ndSt",06/19/20,"Newport"
"1554","NP-42ndSt-6-19-20-A","RP",0.699655473232269,"HEX",1.52088189125061,0.245951414108276,8410,5,8405,"NP-42ndSt",06/19/20,"Newport"
"1555","NP-68thSt-6-19-20-A","N1",0.223663598299026,"FAM",0.716544628143311,0.0338823050260544,10521,2,10519,"NP-68thSt",06/19/20,"Newport"
"1556","NP-68thSt-6-19-20-A","N2",0.223663598299026,"FAM/HEX",0.716544628143311,0.0338823050260544,10521,2,10519,"NP-68thSt",06/19/20,"Newport"
"1557","NP-68thSt-6-19-20-A","RP",1.67851448059082,"HEX",2.68453240394592,0.962391078472137,10521,15,10506,"NP-68thSt",06/19/20,"Newport"
"1576","NP-Southshore-6-18-20-A","N1",0,"FAM",0.377518892288208,0,9338,0,9338,"NP-Southshore",06/18/20,"Newport"
"1578","NP-Southshore-6-18-20-A","RP",0.882242679595947,"HEX",1.71871542930603,0.374746292829514,9338,7,9331,"NP-Southshore",06/18/20,"Newport"
"1597","NP-Hatfield-6-18-20-A","N1",0,"FAM",0.389319598674774,0,9055,0,9055,"NP-Hatfield",06/18/20,"Newport"
"1599","NP-Hatfield-6-18-20-A","RP",0.129932135343552,"HEX",0.620685338973999,0.00545686110854149,9055,1,9054,"NP-Hatfield",06/18/20,"Newport"
"1999","NP-48thSt-7-8-20-A","N1",0,"FAM",0.364367127418518,0,9675,0,9675,"NP-48thSt",07/08/20,"Newport"
"2000","NP-48thSt-7-8-20-A","N2",0,"FAM/HEX",0.364367127418518,0,9675,0,9675,"NP-48thSt",07/08/20,"Newport"
"2001","NP-48thSt-7-8-20-A","RP",0.243223190307617,"HEX",0.77922135591507,0.0368450805544853,9675,2,9673,"NP-48thSt",07/08/20,"Newport"
"2002","NP-48thSt-7-8-20-A","N1",0,"FAM",0.337114930152893,0,10457,0,10457,"NP-48thSt",07/08/20,"Newport"
"2003","NP-48thSt-7-8-20-A","N2",0,"FAM/HEX",0.337114930152893,0,10457,0,10457,"NP-48thSt",07/08/20,"Newport"
"2004","NP-48thSt-7-8-20-A","RP",0.562662303447723,"HEX",1.22300827503204,0.197801396250725,10457,5,10452,"NP-48thSt",07/08/20,"Newport"
"2005","NP-BigCreek-7-8-20-A","N1",0,"FAM",0.289515405893326,0,12176,0,12176,"NP-BigCreek",07/08/20,"Newport"
"2006","NP-BigCreek-7-8-20-A","N2",0,"FAM/HEX",0.289515405893326,0,12176,0,12176,"NP-BigCreek",07/08/20,"Newport"
"2007","NP-BigCreek-7-8-20-A","RP",0.869920313358307,"HEX",1.57638227939606,0.414775133132935,12176,9,12167,"NP-BigCreek",07/08/20,"Newport"
"2008","NP-BigCreek-7-8-20-A","N1",0,"FAM",0.323352634906769,0,10902,0,10902,"NP-BigCreek",07/08/20,"Newport"
"2009","NP-BigCreek-7-8-20-A","N2",0,"FAM/HEX",0.323352634906769,0,10902,0,10902,"NP-BigCreek",07/08/20,"Newport"
"2010","NP-BigCreek-7-8-20-A","RP",0.431732326745987,"HEX",1.01817059516907,0.130258545279503,10902,4,10898,"NP-BigCreek",07/08/20,"Newport"
"2011","NP-26thSt-7-9-20-A","N1",0,"FAM",0.376068830490112,0,9374,0,9374,"NP-26thSt",07/09/20,"Newport"
"2012","NP-26thSt-7-9-20-A","N2",0.125510275363922,"FAM/HEX",0.599557876586914,0.00527116237208247,9374,1,9373,"NP-26thSt",07/09/20,"Newport"
"2013","NP-26thSt-7-9-20-A","RP",1.88406157493591,"HEX",3.01343202590942,1.08020305633545,9374,15,9359,"NP-26thSt",07/09/20,"Newport"
"2014","NP-26thSt-7-9-20-A","N1",0,"FAM",0.405628055334091,0,8691,0,8691,"NP-26thSt",07/09/20,"Newport"
"2015","NP-26thSt-7-9-20-A","N2",0.270764231681824,"FAM/HEX",0.867477834224701,0.0410167761147022,8691,2,8689,"NP-26thSt",07/09/20,"Newport"
"2016","NP-26thSt-7-9-20-A","RP",1.21893000602722,"HEX",2.20908880233765,0.581136643886566,8691,9,8682,"NP-26thSt",07/09/20,"Newport"
"2018","NP-San-Bay-O-7-9-20-A","N2",0.201795980334282,"FAM/HEX",0.646474659442902,0.0305698681622744,11661,2,11659,"NP-San-Bay-O",07/09/20,"Newport"
"2019","NP-San-Bay-O-7-9-20-A","RP",1.5143141746521,"HEX",2.42181730270386,0.868271291255951,11661,15,11646,"NP-San-Bay-O",07/09/20,"Newport"
"2022","NP-San-Bay-O-7-9-20-A","RP",1.92171001434326,"HEX",2.89712119102478,1.19483852386475,12254,20,12234,"NP-San-Bay-O",07/09/20,"Newport"
"2023","NP-10thSt-6-18-20-A","N1",0.122695997357368,"FAM",0.586111485958099,0.00515297427773476,9589,1,9588,"NP-10thSt",06/18/20,"Newport"
"2024","NP-10thSt-6-18-20-A","N2",0.245404794812202,"FAM/HEX",0.786212265491486,0.0371755361557007,9589,2,9587,"NP-10thSt",06/18/20,"Newport"
